id,ara,siz,sex,age,Q2,Q3,Q4,a15,a16,a17,a18,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,a35,a36,Q11,Q12,a39,Q13,Q14,Q15,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a65,Q18,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,Q19_1,Q19_2,Q19_3,Q19_4,Q20,b07,b08,b09,b10,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,Q27,b49,b50,b51,b52,b53,b54,b55,b57,job,mar,edc,rel,inc,b66,b67,b68,b69,wara,db48,wt
11,1,1,1,2,4,4,6,4,4,4,4,3,2,2,3,1,1,5,3,4,5,4,5,5,5,5,3,3,3,5,4,4,4,1,2,2,3,3,4,3,2,2,2,2,1,1,1,1,1,1,1,1,3,5,2,4,2,2,4,5,1,4,1,2,1,3,3,2,3,3,1,2,1,1,2,3,3,2,1,4,2,4,1,3,1,3,3,3,3,3,4,4,4,4,2,1,2,1,2,3,1,1,4,3,2,3,2,2,2,1,2,2,1,1,1,4,3,2,2,4,4,5,6,1,2,2,3,2,3,4,5,5,1,1,3,.971428571428571
12,1,1,1,4,4,2,2,3,2,2,2,3,2,2,4,2,2,5,3,3,5,4,5,5,5,5,3,3,1,4,3,3,2,2,3,1,1,1,3,3,2,2,2,2,1,1,1,3,3,2,3,2,3,5,3,2,1,2,4,3,3,3,3,3,1,4,4,4,4,2,4,4,4,4,1,3,3,3,2,1,3,3,1,1,1,1,1,1,3,3,3,3,3,3,2,3,3,3,3,2,1,1,2,3,3,2,1,1,2,1,1,2,2,2,3,4,2,1,3,4,4,5,7,2,2,2,3,1,4,3,4,1,14,1,3,1
13,1,1,1,4,1,1,2,1,2,2,2,1,1,1,2,1,2,1,3,3,3,2,2,3,4,4,1,1,1,1,3,3,2,4,1,1,1,1,1,1,2,2,2,2,2,1,2,1,3,1,4,2,2,3, ,1,3,3,5,3,2,2,2,3,1,4,2,3,1,1,4,4,4,4,2,3,3,3,3,1,2,1,1,3,1,1,3,3,3,3,3,3,3,3,4,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,3,2,3,4,1,7,4,3,2,2,2,3,3,4,1,1,1,1,.888888888888889
14,1,1,1,1,4,2,4,4,2,3,2,2,2,1,4,2,3,5,3,4,4,4,3,5,3,4,3,3,2,3,3,4,3,2,2,2,3,4,4,3,2,2,2,2,1,2,2,1,2,2,3,2,4,5,4,3,4,4,3,5,3,2,3,1,2,3,3,4,3,9,3,3,3,4,2,3,2,4,3,2,4,4,2,3,3,2,3,3,2,4,3,3,3,2,2,2,4,9,1,1,2,2,4,2,3,1,2,2,2,1,1,1,2,1,2,5,2,2,2,3,1,2,8,4,6,1,3,1,2,4,5,6,1,1,3,1.05405405405405
15,1,1,1,1,4,2,5,3,3,2,3,3,3,2,4,2,2,1,3,3,2,2,2,2,2,1,2,2,1,1,3,3,3,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,3, ,2,3,3,3,3,1,2,1,1,2,3,3,2,4,3,2,2,2,2,1,1,1,1,1,1,3,4,1,1,2,2,1,1,2,1,4,4,4,4,1,2,2,2,2,3,3,3,3,2,2,3,2,1,1,1,1,1,1,1,1,5,4,3,1,1,3,1,6,3,6,1,2,98,2,3,3,1,1,1,3,1.05405405405405
16,1,1,2,3,1,2,2,2,1,2,1,2,2,1,3,2,1,5,2,2,4,4,4,4,4,4,1,1,1,2,2,3,3,2,4,2,2,4,4,3,2,1,1,2,1,2,2,2,2,2,2,2,3,3, ,2,2,3,2,2,3,2,2,3,1,2,2,2,2,2,4,4,3,3,2,2,2,3,3,1,3,1,1,2,1,1,1,3,4,4,3,3,2,3,1,2,2,2,2,1,2,3,3,2,2,1,2,1,2,2,2,2,2,3,2,3,3,1,2,3,2,3,7,2,5,2,2,2,1,5,4,2,99,1,2,.96969696969697
17,1,1,2,3,1,2,4,4,4,4,4,3,3,1,4,3,2,3,4,4,5,5,5,5,5,5,1,1,2,5,3,3,3,1,4,3,2,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,5,1,2,4,4,2,3,2,1,1,1,1,2,1,2,2,1,5,5,3,3,1,1,1,4,2,1,3,1,1,2,4,3,1,3,2,2,2,2,3,3,1,1,2,3,3,1,2,3,3,1,2,1,2,1,1,1,1,1,1,2,3,2,4,3,1,2,4,2,5,1,4,2,3,98,4,3,4,4,13,1,1,.96969696969697
18,1,1,2,1,1,2,3,2,2,2,3,2,2,2,3,1,1,5,2,2,3,4,4,3,4,4,2,3,2,2,2,3,2,3,3,2,4,4,4,3,2,2,2,2,1,1,2,2,2,1,2,2,2,3, ,2,3,3,2,2,3,3,2,2,2,2,3,3,3,3,4,4,4,2,1,2,3,3,2,3,2,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2,1,2,5,5,2,2,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,4,3,5,2,3,1,3,2,1,3,4,2,5,1,1,1
19,1,1,2,2,1,2,2,2,1,1,2,1,2,3,3,2,3,3,1,1,3,3,5,4,5,5,3,3,2,2,2,2,2,2,4,2,3,3,4,2,2,1,1,2,1,1,2,2,2,1,1,1,2,3, ,2,3,3,1,1,2,2,2,1,1,1,3,3,3,2,3,4,3,4,1,1,1,2,1,1,2,1,1,2,2,3,1,1,2,2,2,3,3,4,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,2,2,3,3,1,2,3,1,1,2,4,2,4,2,2,2,3,1,2,3,4,4,1,1,1,1.03225806451613
20,1,1,2,1,1,1,2,1,1,1,1,2,1,1,4,1,1,5,1,2,2,2,2,2,4,1,1,1,2,2,2,3,2,1,3,3,2,3,4,4,2,2,1,2,1,1,1,1,3,1,1,3,2,3, ,1,3,3,2,3,4,4,1,3,1,1,3,2,2,3,3,3,3,4,2,2,2,3,3,3,2,1,2,3,3,2,3,3,3,3,4,4,4,4,1,1,2,1,1,3,1,4,4,1,1,2,5,1,1,1,1,2,2,3,2,3,4,2,2,2,1,1,1,1,4,1,3,98,2,5,5,3,1,1,2,1
21,1,1,2,2,1,2,6,2,3,2,2,2,2,1,3,1,2,5,1,2,5,5,4,5,5,5,2,2,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,1,1,1,3,2,1,2,2,3,2, ,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,4,4,4,4,1,2,2,3,3,1,4,1,1,1,2,1,1,1,3,3,2,2,3,3,2,2,2,2,2,1,5,5,5,5,5,2,2,2,2,1,1,2,3,3,3,3,3,3,2,2,4,2,8,2,5,2,3,98,4,3,3,1,1,1,2,1.03225806451613
22,1,1,2,4,1,2,3,4,4,4,4,2,2,4,4,1,1,1,4,4,5,5,5,5,5,5,3,3,1,5,4,4,4,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,4,5,2,4,1,2,4,5,1,5,1,1,1,4,4,1,4,2,4,4,4,4,2,2,2,3,2,1,3,2,1,1,3,3,1,3,2,2,2,3,4,4,1,1,1,1,1,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,2,4,3,2,2,3,4,5,8,2,5,2,2,98,3,3,4,1,1,1,3,1
23,1,1,2,3,1,2,6,3,3,3,3,2,1,1,3,2,1,4,2,3,4,5,5,5,5,5,1,2,1,2,3,4,3,2,4,3,2,2,4,2,2,2,2,2,1,1,1,1,1,1,3,2,3,5,1,3,3,3,3,4,5,3,1,1,1,3,3,1,3,4,5,5,5,5,1,2,2,1,2,2,4,4,3,2,3,2,1,1,2,1,3,3,4,3,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,4,5,4,4,1,1,1,3,4,2,2,2,3,2,2,5,6,5,1,1,3,.96969696969697
24,1,1,2,2,3,3,2,3,3,3,3,2,1,1,3,1,1,5,3,4,3,3,3,3,3,3,2,3,1,4,3,4,4,2,4,2,4,4,4,4,2,2,2,2,1,1,1,1,2,1,1,1,2,2, ,2,3,4,3,4,4,4,4,4,1,4,3,1,2,3,3,3,3,3,2,3,3,3,3,1,3,3,1,1,1,1,4,4,4,4,2,2,2,2,2,2,2,2,2,1,5,5,5,5,5,2,1,1,1,1,1,2,3,3,3,3,3,2,2,2,2,3,8,2,2,2,2,98,1,5,4,1,10,1,2,1.03225806451613
25,1,1,2,2,3,2,6,3,3,3,3,3,3,2,3,3,2,1,2,3,3,3,5,5,5,5,3,3,1,2,3,3,4,2,4,4,4,4,4,4,1,2,2,2,1,1,1,1,1,1,1,1,2,4,4,3,2,3,5,3,2,2,2,3,3,2,3,2,3,3,3,3,1,1,2,3,3,3,3,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,3,5,5,5,5,5,5,2,1,1,1,1,1,2,2,4,5,3,3,2,2,4,3,5,2,2,1,2,98,1,5,5,3,1,1,3,1.03225806451613
26,1,1,2,2,3,2,3,3,2,2,2,2,1,1,2,2,1,1,2,3,3,2,2,4,4,4,2,2,2,2,2,3,3,3,2,1,3,4,3,1,2,2,2,2,1,1,1,1,1,1,3,1,3,3, ,2,2,3,2,2,3,2,1,3,2,3,2,2,2,3,3,3,2,2,1,2,2,3,2,3,1,1,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,3,2,2,2,2,1,2,1,2,2,3,3,3,4,4,2,1,2,4,2,6,3,5,2,3,98,4,2,3,1,1,1,3,1.03225806451613
27,1,1,2,1,2,2,2,3,1,2,2,3,2,1,1,1,1,2,2,3,5,5,1,5,5,5,2,2,2,2,2,3,1,1,4,3,3,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,3,3, ,2,4,2,3,3,3,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,2,2,2,1,2,1,1,3,2,2,3,3,3,3,4,4,4,4,1,1,2,1,2,1,5,5,5,5,5,5,2,1,1,1,1,2,1,1,2,2,2,2,3,3,4,3,5,2,4,1,3,98,1,5,4,5,1,1,1,1
28,1,1,1,3,1,2,4,3,2,3,3,1,2,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,1,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,3,3, ,3,1,3,5,2,3,3,2,2,1,3,4,2,2,3,3,3,4,4,1,3,2,3,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,3,3,3,2,2,2,2,2,2,2,1,1,2,1,2,2,3,3,1,4,4,2,1,3,4,2,5,3,2,2,3,1,99,4,4,1,11,1,3,.967741935483871
29,1,1,2,4,2,2,4,3,2,2,2,2,2,3,3,3,3,1,3,3,2,2,3,2,2,2,3,3,1,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,4,3, ,3,3,4,3,2,3,2,3,3,2,5,4,3,3,3,3,3,3,3,2,3,3,3,3,1,9,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,2,2,3,1,2,2,3,3,1,4,3,1,3,4,4,3,6,3,5,2,1,98,2,4,4,1,13,1,3,1
30,1,1,2,2,2,2,5,2,2,2,2,2,2,2,3,1,2,1,3,4,4,4,3,4,3,4,1,1,1,2,2,3,2,2,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3, ,2,3,4,4,2,2,3,2,2,3,3,3,3,3,2,4,4,4,4,1,2,3,3,2,3,3,1,3,3,3,3,3,3,2,2,2,2,3,3,1,1,2,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,2,3,3,2,4,3,1,2,3,1,6,2,6,1,2,98,1,5,6,3,9,1,1,1.03225806451613
31,1,1,2,2,5,3,3,3,3,3,3,2,2,2,3,2,1,1,4,3,3,3,3,3,3,3,3,3,1,1,3,2,2,2,4,2,2,4,4,4,1,2,2,2,1,1,1,1,1,1,1,1,3,4,1,3,3,3,3,4,3,3,1,3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,1,3,1,3,2,2,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,5,5,5,5,5,5,2,1,1,1,1,1,1,1,3,4,4,2,1,2,2,3,6,3,5,2,3,2,3,3,3,2,1,1,3,1.03225806451613
32,1,1,1,4,1,1,3,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,3,3,3,3,2,2,2,2,2,3,4,3,3,4,4,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1, ,1,2,2,5,1,3,2,3,3,1,1,3,3,3,2,3,3,3,3,1,2,2,3,2,1,3,1,1,1,1,1,1,1,2,2,4,4,4,4,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,2,3,3,3,3,4,3,2,2,2,2,7,2,2,2,3,1,99,3,3,1,8,1,2,1
33,1,1,1,2,2,1,4,2,3,2,2,2,2,2,2,2,2,1,3,3,5,5,5,5,3,5,3,3,1,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,3,2,2,2,2,3, ,2,2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,1,2,3,3,3,3,2,1,3,3,3,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,1,1,1,1,2,3,3,3,3,4,4,2,3,3,4,3,7,2,3,2,2,2,1,5,5,2,11,1,3,.971428571428571
34,1,1,2,2,3,2,5,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,4,4,3,2,2,2,2,2,2,2,1,2,1,2,1,2,4,1,2,2,2,3,2,2,3,2,2,3,3,3,3,3,3,4,4,4,3,1,2,2,3,2,1,3,4,1,2,2,2,1,3,1,1,2,2,2,2,1,2,2,2,2,3,5,5,5,5,5,5,2,2,2,2,2,1,2,3,4,3,3,1,3,4,4,3,10,4,5,2,2,98,2,3,3,1,1,1,2,1.03225806451613
35,1,1,2,1,1,2,2,1,2,2,1,1,2,2,3,3,2,1,2,3,3,3,3,3,3,3,1,3,1,1,2,3,3,1,4,4,4,4,4,4,2,2,2,2,2,1,2,1,2,1,2,2,1,1, ,1,4,4,1,2,5,3,1,1,3,1,2,4,3,2,5,5,3,3,1,2,1,4,2,3,2,1,3,4,3,2,3,4,2,4,4,4,4,3,2,3,4,4,3,1,1,1,1,1,1,1,4,2,2,2,2,1,2,3,1,1,4,3,1,1,2,1,1,2,2,1,2,3,4,3,4,2,1,1,1,1
36,1,1,2,4,3,2,3,2,1,1,2,2,1,2,3,2,1,5,1,4,2,3,2,4,3,1,2,2,2,2,2,2,2,2,4,2,2,4,4,3,2,2,2,2,1,2,1,1,2,2,3,2,3,3, ,2,2,3,3,2,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,3,4,2,1,2,3,1,2,2,2,3,3,3,3,3,3,3,2,1,2,2,2,3,3,3,3,3,2,3,2,1,2,2,2,2,2,3,3,3,4,3,2,2,3,4,3,7,2,2,2,2,99,2,5,5,1,1,1,3,1
37,1,1,1,4,1,2,4,2,1,3,1,2,1,1,3,2,1,5,2,2,3,4,3,4,4,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,2,2,1,2,1,1,1,2,2,1,3,2,2,3, ,2,3,3,2,2,1,2,1,2,1,2,2,1,1,2,3,3,3,3,1,2,2,3,3,5,4,4,3,3,4,2,3,3,2,3,3,3,4,3,1,2,2,2,2,3,2,2,3,2,2,2,1,1,1,1,1,1,2,3,2,3,3,2,1,2,3,2,6,2,3,1,1,1,1,4,4,3,9,1,2,1
38,1,1,1,2,4,3,5,3,3,3,3,3,3,2,3,3,3,1,3,3,4,4,3,4,3,3,3,1,1,1,2,3,2,2,4,4,3,4,4,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3, ,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,1,3,3,3,3,3,3,1,1,1,1,1,4,4,4,4,3,3,3,3,2,2,2,2,2,2,5,5,5,2,5,2,2,1,2,1,2,2,3,3,2,2,2,2,1,3,1,1,6,4,3,1,3,2,3,4,4,1,1,1,1,.971428571428571
39,1,1,1,3,1,1,3,2,1,1,1,1,1,1,2,1,2,1,1,3,4,4,3,3,4,4,3,3,2,2,1,3,2,3,4,2,3,3,4,3,2,2,1,2,1,1,1,2,2,1,1,2,2,3, ,3,3,3,1,1,3,3,3,2,2,2,3,3,3,2,3,3,3,3,2,2,3,3,2,1,3,1,1,2,2,2,1,3,3,3,3,3,3,3,1,1,2,1,2,3,1,2,3,1,2,1,2,1,1,1,2,2,2,3,2,2,2,2,1,2,4,2,6,3,3,2,3,98,1,5,5,4,1,1,1,.967741935483871
40,1,1,2,3,3,2,6,3,3,2,3,3,2,2,3,2,2,4,3,3,4,4,4,4,4,4,3,3,1,1,2,3,3,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,3,3,2,3,4,1,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,3,1,2,2,2,1,3,2,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,6,2,5,2,1,1,2,4,5,3,1,1,1,.96969696969697
41,1,1,1,1,4,4,6,2,3,3,2,3,3,3,4,4,4,5,4,4,3,3,3,4,3,3,3,3,1,1,3,4,4,1,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,3,5,1,3,3,3,5,3,2,2,3,3,1,2,2,2,2,4,2,2,2,2,2,3,3,3,3,1,3,2,1,1,2,2,3,3,3,3,3,2,3,2,1,1,1,1,2,3,5,5,5,5,5,3,5,2,2,1,2,2,2,2,4,1,3,3,2,3,4,1,4,1,6,1,2,98,1,5,5,6,1,1,1,1.05405405405405
42,1,1,1,2,1,2,3,1,1,1,1,1,1,1,3,1,2,5,1,1,1,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,2,1,2,2,1,1,1,1,1,1,3,1,2,2, ,1,4,4,1,2,3,2,2,2,1,2,2,2,2,2,2,5,3,5,1,1,1,4,3,3,1,1,1,2,2,2,1,1,2,3,4,4,4,4,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,2,4,1,9,2,2,2,3,99,3,5,5,2,9,1,2,.971428571428571
43,1,2,2,1,2,2,4,3,1,2,2,3,2,3,3,1,2,1,3,2,2,2,2,4,4,5,3,1,2,2,3,3,3,3,4,3,2,3,3,4,2,2,1,1,2,1,2,3,3,1,2,5,3,3, ,2,3,2,3,2,4,3,2,3,2,3,2,3,3,3,5,4,4,3,1,2,2,3,2,3,1,1,1,2,2,1,1,3,2,3,3,3,3,3,2,2,3,3,3,1,2,2,3,2,2,1,3,2,2,2,2,2,2,3,2,3,2,2,3,2,4,4,8,3,6,1,3,2,4,4,4,1,8,8,2,1
44,1,2,2,4,3,2,6,2,2,2,2,3,3,2,3,3,3,3,2,3,4,4,4,4,4,4,1,1,2,2,2,4,4,2,4,2,2,2,4,4,2,2,1,2,1,1,1,2,2,1,1,1,3,4,1,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,4,4,2,2,1,3,2,3,2,1,3,1,1,2,2,2,1,4,2,2,2,2,3,3,1,1,1,1,1,3,2,2,3,5,3,2,1,1,1,1,1,1,1,1,2,3,4,2,2,3,3,4,5,2,3,2,2,1,3,3,4,2,8,8,2,1
45,1,2,1,3,2,2,3,2,2,2,1,1,1,1,3,1,1,1,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,2,3,3,5,2,2,2,3,3,3,2,2,1,1,1,4,4,4,4,2,3,3,3,3,1,1,2,3,2,1,3,1,1,1,1,1,1,1,3,3,2,3,3,3,1,1,1,1,1,3,2,2,3,3,2,2,2,2,2,1,2,2,3,3,2,3,2,1,2,3,3,2,5,3,2,2,3,2,4,2,3,1,2,8,2,1.02941176470588
46,1,2,1,2,1,2,3,2,2,2,2,2,2,1,3,1,2,1,2,2,3,3,3,3,4,4,3,1,1,2,3,3,3,2,2,2,2,4,4,3,2,2,2,2,1,1,1,1,1,1,2,2,2,2, ,2,4,4,2,2,4,3,2,2,2,2,3,3,3,3,4,4,4,2,1,2,2,3,2,1,3,1,1,2,2,2,1,1,4,4,3,3,3,3,1,2,2,2,3,3,1,1,5,1,1,1,2,1,1,1,2,2,2,3,3,2,3,2,1,2,2,1,3,2,2,1,3,98,3,3,4,3,1,8,1,1.02564102564103
