id,dem03,dem03_raw,dem04,dem01,dem14_01,dem14_01_raw,Q2,Q3,Q4,uni04_01,uni04_02,uni04_03,uni04_04,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,uni10,uni11,Q11,Q12,nk01,Q13,nk04,Q14,Q15,nk06,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_07,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_02,nk09_04,nk09_05,nk09_06,nk09_07,nk10,nk11,nkp10,nkp01,Q18,nkp03,nkp06,nkp07_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_11,nkp09_01,nkp09_02,nkp09_03,nkp09_04,nkp09_05,int01,Q19_1,Q19_2,Q19_3,Q19_4,Q20,int04_01,int04_02,int04_03,int04_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,int12_01,int12_02,int12_03,int12_04,int13,int14,sk02_01,sk02_02,sk02_03,sk02_04,sk02_05,sk02_08,sk05_08,sk05_09,sk05_01,sk05_03,sk05_05,sk05_10,sk05_06,sk05_11,sk09,sk10,sk01,nk12,sk07,Q27,sk18_02,sk17_01,sk22_01,sk22_02,sk22_03,dem08,dem08_raw,dem05,dem07,dem07_raw,dem06,dem09,dem09_raw,dem10,dem11,dem12,dem13,wt
1,1,4,1,1,1,24,5,3,6,4,4,4,4,4,4,4,4,1,1,5,3,4,5,5,5,5,5,5,3,3,1,1,4,4,4,5,4,1,1,1,1,1,4,4,2,2,1,2,1,1,1,1,1,1,1,1,4,4,1,1,1,5,3,1,1,1,1,1,4,5,1,1,3,3,3,3,3,3,3,3,1,1,1,3,2,1,3,4,4,1,3,3,3,4,4,4,4,1,2,4,2,3,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,4,1,1,1,3,1,1,1,3,3,3,3,1,3,4,1,4,10,3,4,5,4,0.97
2,1,4,1,1,1,25,2,1,2,2,2,4,3,2,2,1,4,1,1,3,2,2,5,1,2,4,2,4,3,1,1,3,2,3,3,4,4,1,3,1,4,4,4,3,2,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,3,4,4,1,3,2,1,1,3,3,2,3,2,4,3,2,3,2,2,2,4,2,1,3,2,1,3,4,3,1,3,4,3,3,3,4,3,1,1,4,3,3,2,5,5,5,3,5,5,1,1,1,1,2,3,3,1,4,3,5,1,2,2,5,3,4,2,2,4,8,1,3,4,3,4,11,4,4,2,4,0.97
3,1,4,1,1,1,24,1,2,3,3,2,2,2,1,1,2,4,1,1,5,1,2,3,4,2,3,4,4,2,1,1,3,5,3,4,4,3,2,2,2,4,4,4,4,2,1,1,2,1,1,2,1,1,1,2,2,2,3,2,3,2,3,2,3,2,2,3,2,2,3,3,3,2,4,4,4,4,1,2,2,3,3,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,7,2,2,3,2,3,3,3,3,3,3,1,3,4,2,4,11,3,4,2,4,0.97
4,1,4,1,1,1,26,2,2,5,3,2,2,3,3,1,2,4,2,1,3,2,2,4,3,3,4,4,2,3,2,2,3,5,3,2,3,3,1,2,1,1,1,4,3,2,2,2,2,1,1,2,2,2,1,1,1,2,4,3,2,3,4,3,1,2,1,2,1,2,2,3,3,2,5,4,3,5,2,1,1,4,2,1,3,1,1,1,3,2,1,3,3,3,2,3,3,3,1,1,2,2,3,2,1,2,3,3,2,3,2,4,2,2,2,4,2,2,2,2,7,2,2,4,1,2,1,4,4,6,12,1,3,4,2,2,5,4,4,4,4,0.97
5,1,4,1,1,1,27,3,2,6,3,2,2,2,2,1,3,4,1,1,3,2,3,5,5,5,5,5,5,2,3,2,3,1,3,3,4,3,2,4,3,3,3,4,3,2,2,2,2,1,1,1,1,1,1,2,2,4,2,2,2,2,2,2,1,2,1,4,1,3,4,4,4,3,2,2,2,1,2,2,2,3,1,1,2,3,1,1,3,1,1,2,3,3,3,3,3,3,1,1,2,2,3,2,5,5,5,5,5,2,1,1,1,1,1,1,1,1,3,3,4,2,3,1,3,3,5,3,3,2,2,2,3,4,98,4,9,3,3,2,8,0.97
6,1,4,1,1,1,28,4,3,6,3,2,1,2,2,3,2,4,2,2,2,3,3,2,4,4,3,4,3,2,2,2,4,3,3,4,4,3,3,4,4,2,2,4,2,2,2,1,2,2,1,1,2,1,1,2,1,1,2,3,3,3,1,2,1,3,2,2,1,3,3,4,4,4,5,5,3,3,2,2,3,2,2,3,4,1,3,3,3,3,3,3,3,3,4,4,3,3,1,1,2,2,2,2,3,3,5,4,2,1,2,1,1,1,2,3,2,2,4,2,4,2,4,2,5,3,3,2,4,4,6,1,3,4,98,4,10,3,3,3,8,0.97
7,1,4,1,2,1,20,5,3,6,3,4,4,4,3,2,1,2,1,2,1,2,2,4,4,1,4,1,1,1,1,1,3,2,3,3,3,2,1,4,4,4,4,4,4,2,1,1,2,2,1,1,1,2,2,1,5,3,2,3,4,5,2,3,1,3,3,3,1,2,3,3,1,2,4,4,4,2,1,1,2,3,2,1,3,3,1,2,3,2,1,2,2,1,1,3,4,2,1,2,3,1,3,3,2,2,2,3,2,5,2,3,2,2,3,2,1,3,3,2,5,2,2,3,5,2,2,3,2,6,10,1,3,4,99,3,7,4,4,2,4,1.02
8,1,4,1,1,1,19,4,3,6,3,3,2,2,3,3,2,3,3,3,3,2,3,4,4,5,5,5,5,3,3,3,3,3,2,3,4,4,2,4,4,4,4,4,4,2,2,2,2,1,2,1,2,2,2,2,2,3,3,2,2,5,3,4,3,3,4,3,1,4,3,3,3,3,3,3,2,4,3,2,3,3,2,1,4,1,1,2,2,2,1,2,3,3,2,3,3,3,1,1,2,2,3,2,5,5,4,4,3,2,3,3,2,1,1,3,2,2,3,2,8,3,4,2,5,2,4,5,5,6,10,1,3,4,98,3,8,3,4,3,4,0.97
9,1,4,1,2,1,19,3,3,6,2,2,3,3,3,3,2,2,2,2,3,3,3,4,4,3,4,3,3,3,3,1,4,5,3,3,3,2,1,4,4,4,4,4,3,1,2,1,2,3,2,2,3,3,3,1,2,1,1,2,99,4,3,2,2,99,3,2,2,3,3,1,3,2,5,5,4,2,2,3,2,2,2,1,3,2,1,4,3,3,1,2,3,3,99,3,3,3,2,4,4,4,2,2,5,2,5,3,5,3,1,3,2,2,3,3,3,3,3,2,6,2,3,3,1,3,2,3,3,6,10,1,3,4,99,4,10,3,5,1,4,1.02
10,1,4,1,2,1,23,1,1,5,2,2,1,2,2,1,1,2,2,1,1,2,2,3,3,4,4,4,5,3,3,2,3,2,3,4,3,1,4,4,4,4,4,4,2,2,1,2,2,2,2,1,3,2,1,1,1,1,2,3,3,3,2,3,3,2,3,3,1,1,1,2,1,2,3,3,3,3,1,2,2,3,2,1,1,1,1,2,4,2,3,3,3,3,4,3,3,3,2,2,4,2,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,3,5,3,4,3,3,6,10,1,3,4,2,1,2,5,5,2,4,1.02
11,1,4,1,2,1,25,4,3,6,3,3,3,3,3,2,2,3,2,1,3,3,3,4,5,5,5,5,5,3,2,1,4,4,3,3,5,3,1,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,2,1,4,3,2,3,2,3,4,1,1,1,5,1,5,4,2,1,2,2,4,2,1,1,3,1,3,3,4,3,1,1,1,4,2,1,2,3,1,3,3,3,3,1,1,3,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,2,5,2,3,3,5,3,2,3,2,5,9,2,2,3,2,3,8,3,4,4,4,1.02
12,1,4,1,2,1,29,4,2,6,2,1,2,1,2,1,1,3,2,1,1,4,3,2,3,4,3,4,3,3,1,1,4,4,4,4,4,2,3,2,4,4,2,4,4,2,2,1,2,2,1,1,2,3,2,2,1,2,2,3,3,2,1,1,2,4,2,1,2,3,3,3,3,2,5,5,3,3,1,2,3,3,2,3,1,1,3,1,2,2,3,4,4,3,4,3,3,3,1,1,3,3,2,2,2,2,5,1,5,1,1,2,1,1,3,3,3,2,4,2,5,2,4,2,2,3,4,3,1,3,3,2,3,4,2,3,8,3,3,5,11,1.02
13,1,4,1,2,1,29,2,2,3,3,3,3,3,2,1,3,4,2,1,1,2,3,5,5,5,5,5,5,3,2,2,4,2,3,3,4,2,2,4,4,4,4,4,4,2,2,2,2,1,2,1,2,1,1,2,1,2,4,2,2,2,3,3,1,3,1,3,1,4,4,4,4,2,4,4,4,2,2,2,2,4,2,1,2,3,1,1,2,2,1,2,3,3,3,3,3,3,1,1,1,1,3,1,5,5,5,5,5,2,1,3,1,1,1,1,1,1,3,3,4,2,3,2,5,3,2,4,1,4,8,2,3,4,2,4,11,3,4,2,4,1.02
14,1,4,1,2,1,26,3,2,6,3,3,3,3,2,1,3,4,2,1,1,3,3,5,5,5,5,5,5,3,3,2,3,2,3,3,4,2,2,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,2,1,2,4,2,3,2,2,3,1,3,1,3,1,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,2,3,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,3,2,5,5,5,5,5,2,1,3,1,1,1,1,1,1,3,3,3,2,3,3,5,3,2,3,2,5,9,2,3,4,98,2,6,4,4,2,4,1.02
15,1,4,1,1,2,38,2,2,5,3,2,2,1,1,1,1,3,3,1,3,2,3,5,5,2,3,5,5,3,3,2,4,5,2,4,5,3,2,3,3,3,3,3,3,2,1,2,2,1,1,1,1,2,1,1,1,2,4,2,2,1,5,1,1,1,1,5,1,2,2,2,2,2,5,5,4,3,1,2,1,4,2,1,2,1,1,1,1,1,1,2,1,3,1,4,4,2,1,1,3,1,3,4,5,5,5,5,5,5,1,4,1,1,1,2,3,1,3,1,8,2,3,3,5,2,1,5,1,2,2,2,3,4,99,3,8,4,6,2,1,1.02
16,1,4,1,1,2,30,4,3,6,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,3,3,4,5,5,4,4,5,4,4,4,4,4,4,4,4,2,1,2,2,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,1,5,5,1,3,1,1,1,1,4,5,5,5,5,2,4,4,4,4,3,1,2,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,2,5,4,5,4,4,5,1,1,1,1,1,1,1,1,4,4,10,4,2,4,3,4,5,1,5,2,2,1,2,3,2,4,12,3,6,3,12,1.02
17,1,4,1,1,2,34,2,1,3,2,2,2,2,2,1,1,3,1,1,3,3,2,3,2,2,3,2,2,2,1,1,4,2,2,3,4,3,2,2,3,3,3,4,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,3,2,2,2,4,2,2,2,2,4,3,3,3,2,3,3,3,3,1,2,2,3,3,3,3,1,1,2,2,2,1,3,3,3,3,3,2,3,2,2,2,2,1,2,5,3,3,4,2,2,2,2,1,1,2,2,2,2,3,2,7,3,2,2,5,3,2,2,2,3,4,2,3,4,2,2,6,4,4,5,4,1.02
18,1,4,1,1,2,32,4,3,6,3,2,1,2,2,3,2,4,2,2,3,2,3,2,1,3,2,3,4,2,1,1,2,4,4,3,4,3,3,2,4,4,4,3,3,2,2,2,2,2,1,1,2,1,1,2,1,2,3,2,3,2,2,2,1,3,2,2,2,3,2,4,4,3,4,4,4,4,1,2,1,2,3,2,4,1,1,2,3,3,1,2,4,3,3,4,3,3,1,1,3,3,3,2,3,4,3,2,1,2,2,1,2,3,2,1,2,1,4,2,6,3,3,1,2,3,2,3,2,4,6,1,3,4,98,4,9,3,4,2,8,1.02
19,1,4,1,1,2,37,3,2,5,3,2,2,2,1,1,1,4,1,1,5,3,3,5,5,2,4,5,5,3,2,1,2,2,3,3,3,3,1,2,1,2,1,2,3,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,3,3,1,2,3,1,2,2,1,2,2,2,2,3,5,5,3,5,3,2,3,3,3,1,4,1,1,2,2,2,1,2,3,3,2,2,3,3,2,2,3,3,2,2,3,4,3,3,4,3,3,2,2,3,3,2,2,3,3,2,7,3,3,3,5,2,3,5,5,3,4,1,2,3,2,3,7,4,4,2,1,1.02
20,1,4,1,1,2,35,4,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,4,5,4,5,4,4,3,3,4,3,3,2,3,3,1,3,3,3,4,4,4,3,2,2,2,2,1,1,2,2,2,1,2,2,5,3,3,2,4,2,3,3,4,3,3,2,3,3,3,4,3,4,5,3,5,2,2,2,3,3,1,3,3,1,3,2,3,1,2,3,3,2,3,4,3,1,1,2,2,3,2,2,3,4,4,3,3,2,3,2,3,2,2,3,3,3,3,8,2,3,3,1,2,3,4,3,4,6,1,3,4,2,4,9,3,3,2,8,1.02
21,1,4,1,2,2,36,2,2,5,4,3,3,2,2,2,2,3,2,2,4,3,3,4,4,5,5,4,4,3,3,1,3,4,2,3,4,2,3,3,3,3,3,3,3,2,2,2,2,1,1,1,2,2,1,2,2,4,4,3,3,2,2,2,2,2,2,4,1,2,2,2,3,2,4,4,3,3,3,2,2,3,2,3,3,4,1,1,1,1,1,1,3,3,3,3,4,3,1,1,2,2,3,2,2,2,3,3,3,3,3,3,2,1,3,3,2,3,3,2,7,3,3,2,5,2,2,5,1,5,9,2,2,3,99,2,6,5,5,2,18,0.96
22,1,4,1,2,2,37,4,3,2,3,1,2,1,1,2,3,3,2,1,4,3,4,2,3,4,3,2,3,1,2,1,4,2,4,4,5,2,2,2,4,4,4,4,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,3,2,2,2,1,3,2,1,1,1,2,4,5,5,3,5,5,3,3,2,2,1,2,2,1,4,1,2,1,4,3,1,3,3,3,4,4,4,4,1,1,2,2,2,2,3,2,1,2,5,2,1,2,2,1,2,3,2,2,4,2,7,3,3,1,5,2,3,2,3,3,3,2,3,4,2,3,7,2,5,3,8,0.96
23,1,4,1,2,2,32,3,2,6,3,2,1,2,2,1,2,3,2,1,2,3,2,1,2,3,2,2,1,2,1,1,4,2,3,3,4,2,3,4,4,4,4,4,4,2,2,1,2,2,1,1,1,1,1,2,1,1,3,1,2,3,2,1,2,3,1,2,2,3,2,3,3,2,3,4,2,2,1,2,3,2,2,3,4,1,2,3,3,3,1,2,3,3,3,3,4,3,2,2,3,3,1,2,3,2,1,2,2,1,1,1,2,2,1,2,3,2,2,2,7,3,3,2,5,2,3,2,1,5,9,2,3,4,98,3,7,4,2,2,4,0.96
24,1,4,1,2,2,34,2,2,3,2,2,2,2,2,2,2,3,1,1,1,2,3,5,4,4,3,4,4,2,2,2,4,2,3,4,5,3,2,4,3,4,4,3,4,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,2,2,2,3,2,1,4,4,2,2,2,2,4,2,4,2,3,3,3,3,2,2,2,2,3,1,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,5,3,3,3,5,2,3,3,3,5,9,2,3,4,2,2,6,4,4,2,4,0.96
25,1,4,1,2,2,33,3,2,6,3,2,3,2,3,1,2,4,1,1,3,3,3,4,5,2,5,5,5,3,3,1,3,2,3,3,4,2,2,3,3,4,3,4,3,2,2,2,2,1,1,1,1,1,1,1,2,2,3,3,3,2,3,4,1,3,1,3,1,3,3,3,3,3,3,3,2,1,2,2,2,3,1,1,3,3,1,3,3,3,1,2,3,3,3,3,3,3,1,2,2,2,3,2,5,5,5,5,5,2,1,2,2,2,2,2,2,2,3,2,7,2,3,3,5,3,3,2,2,4,6,2,2,3,2,4,9,3,3,2,4,0.96
26,1,4,1,2,2,32,2,2,5,1,2,1,1,1,1,1,2,1,1,2,2,3,3,4,2,4,4,4,3,1,1,4,1,3,3,4,2,3,4,3,4,3,4,4,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,3,2,1,1,2,1,1,5,1,3,2,2,3,3,4,3,2,1,2,2,1,4,2,1,3,1,1,2,2,2,1,3,3,3,2,2,2,2,1,1,2,2,1,2,5,5,5,2,5,2,1,3,2,1,2,3,3,1,3,2,7,3,3,4,2,3,4,2,2,5,9,2,3,4,2,2,6,4,5,1,9,0.96
27,1,4,1,2,2,37,2,2,3,2,2,2,2,2,1,1,3,1,1,3,2,2,4,4,2,4,4,4,3,1,1,2,2,3,3,4,2,1,2,2,3,2,3,3,2,1,1,2,2,1,2,1,1,1,1,1,4,2,2,2,3,3,3,2,4,2,1,2,2,2,2,4,3,3,3,3,1,1,2,2,3,3,1,3,1,1,3,2,1,1,2,3,3,2,2,3,2,1,1,1,1,3,2,2,2,2,2,2,2,1,3,2,2,2,2,3,1,3,2,8,2,3,2,5,2,3,2,2,5,9,2,3,4,2,4,10,3,3,2,4,0.96
28,1,4,1,1,3,42,2,2,6,3,2,1,1,2,3,2,4,2,2,1,2,3,3,2,2,4,4,2,1,1,2,4,2,4,4,4,3,2,4,2,2,2,4,2,2,2,1,2,1,1,1,2,1,1,2,1,3,4,2,2,2,1,2,2,2,2,2,2,2,1,2,3,4,3,4,2,3,2,2,3,2,3,1,4,1,1,2,3,2,1,3,3,3,4,4,4,4,2,2,3,3,1,2,2,2,3,3,2,1,2,1,2,1,2,3,2,1,4,2,5,3,3,2,5,4,3,2,2,2,2,2,2,3,98,4,9,4,2,2,1,1.00
29,1,4,1,1,3,46,1,2,4,3,2,2,2,3,2,2,2,1,1,1,2,3,4,5,4,4,5,2,3,3,2,3,2,4,3,3,3,3,4,3,3,3,4,3,2,2,2,2,1,1,1,1,1,1,3,2,1,2,2,3,2,2,2,3,2,1,5,2,2,1,3,3,3,4,4,4,4,3,3,1,3,3,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,3,4,2,3,4,4,4,3,2,3,2,1,2,3,2,2,4,3,7,3,3,4,2,3,3,4,3,3,4,2,2,3,99,3,7,4,4,2,4,1.00
30,1,4,1,1,3,46,4,2,3,3,3,2,2,3,2,2,3,1,3,3,2,3,4,4,4,5,5,5,3,2,1,3,4,2,3,4,2,2,4,4,4,4,4,4,2,2,1,2,1,1,2,1,1,1,1,4,5,2,3,2,3,2,4,3,2,1,5,2,1,3,5,2,2,2,3,2,2,1,3,2,4,1,1,1,3,1,2,2,2,1,2,4,3,2,3,2,4,2,1,3,2,1,2,1,2,1,4,3,5,1,2,3,1,2,4,1,3,3,1,8,2,2,3,5,2,5,4,2,3,4,2,2,3,98,3,7,4,4,2,8,1.00
31,1,4,1,1,3,41,2,2,4,3,3,3,2,2,1,3,4,1,1,5,2,3,5,5,1,3,4,4,3,3,2,3,2,3,3,4,2,2,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,3,2,2,3,1,2,1,4,1,3,3,3,3,2,4,4,2,2,2,2,2,3,3,1,2,1,1,1,3,3,1,2,3,4,3,3,99,99,1,1,1,1,3,2,2,2,3,2,2,2,1,3,1,1,1,1,1,1,3,3,4,2,3,5,5,3,2,3,3,3,3,2,2,3,2,2,6,4,4,2,4,1.00
32,1,4,1,1,3,48,1,2,1,2,2,2,1,1,1,2,4,2,2,5,1,2,2,4,1,3,4,2,1,1,2,1,2,3,2,4,2,3,2,1,2,3,3,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,3,1,2,2,4,3,2,2,2,2,2,1,2,2,4,4,4,4,2,2,2,3,3,1,4,1,1,2,3,1,1,2,3,4,3,3,3,3,1,3,3,3,3,3,2,2,3,2,3,2,1,2,1,1,2,2,2,1,4,1,8,2,2,3,1,2,2,4,3,4,6,2,3,4,2,3,7,3,4,1,11,1.00
33,1,4,1,1,3,40,1,2,3,3,3,2,2,2,2,3,4,2,2,1,2,2,5,3,2,3,4,4,3,3,2,2,2,3,3,3,2,1,3,2,3,3,3,3,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,3,2,2,1,3,2,4,1,5,5,5,5,2,5,5,5,5,1,2,2,4,2,1,3,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,2,2,2,5,2,2,2,1,1,1,1,1,1,1,1,2,2,6,2,3,5,1,2,2,4,4,2,2,1,2,3,1,4,9,3,4,4,1,1.00
34,1,4,1,1,3,40,3,2,5,3,1,1,1,1,1,4,1,1,1,5,4,4,5,5,5,5,5,5,2,2,1,4,1,4,4,5,1,1,4,1,1,4,4,1,2,2,2,2,1,1,1,1,1,1,1,1,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,1,1,1,4,1,4,3,1,1,1,2,2,3,3,3,3,4,4,4,4,1,2,2,2,1,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,1,2,4,3,5,4,1,5,1,4,8,2,3,4,2,3,8,4,5,2,4,1.00
35,1,4,1,1,3,46,1,2,2,2,2,3,2,2,2,1,4,2,2,3,2,2,3,4,4,4,4,4,3,3,1,3,2,2,3,4,2,2,3,2,2,3,4,3,2,1,2,2,1,1,1,2,2,1,1,1,4,3,2,2,1,3,3,2,3,2,2,1,3,4,3,3,3,4,4,3,4,1,2,2,3,2,1,3,1,1,2,3,3,1,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,3,3,6,2,1,3,1,3,2,4,2,2,2,2,3,4,2,3,8,4,4,2,14,1.00
36,1,4,1,2,3,40,2,2,3,1,2,1,1,1,1,1,2,1,1,2,2,3,3,2,2,3,3,3,1,2,1,4,1,3,2,4,3,1,3,3,3,3,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,4,2,3,5,2,3,4,3,3,3,1,2,1,1,1,2,4,4,3,3,1,2,3,3,2,3,1,1,1,1,3,1,1,3,3,3,3,3,3,3,2,2,3,3,3,2,5,5,5,5,5,2,1,2,1,2,1,2,2,1,4,2,6,2,3,3,2,4,2,3,2,5,9,2,3,4,2,3,7,5,5,3,8,0.98
37,1,4,1,2,3,40,4,3,6,2,3,2,2,2,1,2,3,1,1,3,3,4,5,5,5,4,5,5,3,3,2,5,2,2,4,4,1,2,4,2,3,2,4,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,4,1,1,1,4,1,3,2,1,1,3,3,3,2,5,5,5,3,1,2,1,3,2,1,2,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,1,2,1,2,3,3,1,1,1,2,1,1,2,3,2,1,3,3,5,3,3,3,2,3,1,3,1,5,9,2,2,3,2,2,6,3,4,2,1,0.98
38,1,4,1,2,3,45,4,2,6,2,4,2,2,2,3,1,2,1,1,3,2,2,5,4,4,4,4,5,2,1,2,3,2,3,3,2,1,1,4,3,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,2,3,2,3,3,2,2,3,1,1,5,1,3,3,2,4,3,4,4,2,2,1,2,1,3,1,3,3,1,1,1,1,1,1,2,1,3,2,3,99,99,1,99,99,99,3,1,5,5,5,5,5,5,1,3,2,2,3,4,4,1,3,3,8,2,3,1,3,3,3,2,2,6,12,2,2,3,98,1,4,4,4,4,14,0.98
39,1,4,1,2,3,44,3,2,4,1,1,3,4,3,3,2,4,3,1,3,2,3,4,4,5,5,5,5,2,1,1,4,1,4,3,3,1,1,4,1,1,2,4,1,2,2,2,2,1,1,1,2,2,1,1,2,3,2,2,2,3,4,3,1,1,2,3,1,2,3,3,3,4,2,2,2,1,1,2,2,2,2,1,3,1,1,1,1,1,1,2,3,3,2,3,3,3,1,1,2,2,2,1,4,4,4,4,4,3,1,1,1,1,1,1,1,1,4,3,5,1,4,5,1,2,1,1,3,4,6,2,2,3,2,4,9,3,4,3,4,0.98
40,1,4,1,2,3,40,2,3,4,3,3,3,2,2,1,4,4,2,2,3,2,2,4,3,1,3,4,4,3,3,2,2,1,3,3,4,2,2,3,3,3,4,4,3,2,2,1,2,1,1,1,1,1,1,2,2,4,3,3,3,2,4,4,1,3,1,3,1,5,5,5,5,2,3,3,3,3,2,2,2,4,1,1,3,3,1,1,3,3,1,1,3,3,99,99,99,99,1,1,2,2,3,2,2,2,5,2,2,2,2,3,2,1,1,1,1,1,3,3,3,2,3,2,1,2,2,4,4,3,3,2,2,3,98,3,7,4,4,2,8,0.98
41,1,4,1,2,3,44,1,2,2,3,3,3,2,2,3,1,2,3,3,5,2,3,5,5,5,5,5,5,2,2,1,3,2,2,2,2,1,1,4,3,2,3,4,3,2,2,2,2,1,1,1,1,1,1,1,4,2,3,2,3,3,5,5,4,2,2,2,1,2,3,1,1,3,3,2,2,1,2,2,1,4,2,1,4,1,1,2,4,2,3,3,2,3,2,3,3,2,2,1,3,2,3,1,3,2,3,1,5,2,1,2,1,2,2,2,1,1,3,3,2,2,2,3,2,4,1,5,3,5,9,2,2,3,3,3,7,4,4,1,1,0.98
42,1,4,1,2,3,40,1,2,3,3,2,2,1,1,2,2,2,2,1,1,2,3,3,1,1,5,5,5,1,1,2,3,2,1,3,5,2,1,3,2,4,4,4,2,2,1,2,2,1,1,1,1,1,1,1,4,2,3,2,2,1,1,2,5,1,1,5,1,2,3,3,3,1,4,4,3,3,2,3,4,3,3,1,2,1,1,1,2,1,1,1,2,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,3,3,3,1,2,2,2,3,2,4,1,4,6,2,2,3,98,4,10,3,4,1,1,0.98
43,1,4,1,1,4,54,4,2,6,2,3,1,2,2,1,3,2,2,2,3,3,2,2,3,4,3,4,4,2,2,3,2,3,3,4,4,2,3,2,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,3,2,3,2,1,2,4,2,3,1,2,3,3,3,3,5,4,2,4,2,2,1,4,2,1,3,1,1,3,4,3,1,3,4,4,3,4,3,4,1,2,3,2,3,2,2,1,2,3,4,2,2,1,1,2,1,3,2,2,2,2,5,3,3,2,1,2,2,3,2,2,2,2,2,3,1,4,10,3,4,1,9,1.03
44,1,4,1,1,4,57,1,2,3,1,2,2,1,1,1,1,3,2,1,1,1,2,5,5,4,4,5,5,3,3,2,3,1,2,3,4,2,2,2,1,2,2,3,2,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,3,2,3,2,2,4,1,2,3,3,3,2,4,3,4,4,1,3,2,4,2,1,2,3,1,1,3,1,1,2,3,4,2,2,3,2,2,1,2,1,3,2,2,2,4,2,2,2,1,3,1,1,1,2,2,1,2,2,1,2,3,4,1,2,2,3,3,4,8,2,3,5,2,4,11,2,3,2,8,1.03
45,1,4,1,1,4,59,2,2,5,3,2,2,3,3,1,2,4,2,1,3,2,2,4,3,3,4,4,2,3,2,2,3,5,3,2,3,3,1,2,1,1,1,4,3,2,2,2,2,1,1,2,2,2,1,1,1,2,4,3,2,3,4,3,1,2,1,2,1,2,2,3,3,2,5,4,3,5,2,1,1,4,2,1,3,1,1,1,3,2,1,3,3,3,3,3,3,3,1,1,2,2,3,2,1,2,3,3,2,3,2,4,2,2,2,4,2,2,2,2,7,2,2,4,1,2,1,4,4,3,4,2,2,3,2,4,9,3,4,2,4,1.03
46,1,4,1,1,4,59,5,3,6,4,4,3,3,2,2,4,4,1,1,3,3,3,4,4,5,5,5,5,2,3,2,4,1,4,4,4,2,1,4,3,3,3,3,2,2,2,1,2,1,1,1,1,1,1,1,1,4,3,3,3,2,3,3,1,2,1,4,1,3,5,5,5,2,3,4,2,2,2,2,2,4,1,1,3,1,1,1,3,3,1,2,3,3,3,2,2,3,1,1,2,2,3,2,5,5,5,2,5,5,2,2,1,1,1,1,1,1,3,3,2,1,3,4,1,3,3,3,3,3,5,2,2,3,98,4,9,3,4,2,4,1.03
