ID,TARA,ARA,SIZ,SEX,TSQ1,SQ1,Q2,Q3,Q4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_5,Q5_2,Q5_3,문5_9,문5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,문10,문11,Q11,Q12,문14,Q13,문16,Q14,Q15,문19_1,문19_2,문19_3,문19_4,문19_5,문19_6,문20_1,문20_2,문20_3,문20_4,문21_1,문21_2,문21_3,문21_4,문21_5,문22,문23,문24,문25,문26,Q18,문28,문29_1,문29_2,문29_3,문29_4,문29_5,문29_6,문30_1,문30_2,문30_3,문30_4,문30_5,문31_1,문31_2,문31_3,문31_4,문31_5,문31_6,Q19_1,Q19_2,Q19_3,Q19_4,Q20,문34_1,문34_2,문34_3,문34_4,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,문41_1,문41_2,문41_3,문41_4,문42,문43_1,문43_2,문43_3,문43_4,문43_5,문43_6,문44_1,문44_2,문44_3,문44_4,문44_5,문44_6,문44_7,문44_8,문45,문46,문47,문48,문49,Q27,문51,문52,문53_1,문53_2,문53_3,TD1,D1,D2,TD3,D3,D4,TD5,D5,D6,D7,D8,D9,
46,1,1,1,1,2,31,2,2,5,4,3,3,2,1,2,1,3,3,3,2,3,2,3,4,4,2,3,4,4,1,2,1,4,3,3,4,2,2,3,3,2,3,4,3,2,2,2,2,1,2,2,2,2,2,2,4,3,3,2,3,4,3,2,4,2,1,1,2,2,2,3,3,3,3,4,4,4,4,3,2,2,2,3,4,3,2,1,3,4,2,2,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,1,1,2,2,2,2,2,3,2,2,2,1,3,1,3,2,8,3,3,4,5,2,2,4,2,4,6,1,2,3,98,4,9,3,4,2,8,1.23
47,1,1,1,1,2,30,4,4,6,3,4,3,3,3,3,1,3,3,3,2,4,3,3,4,2,2,3,3,4,3,3,1,4,4,3,4,2,2,4,4,4,4,4,3,2,2,2,2,1,1,2,1,2,3,2,2,3,2,3,2,4,3,4,4,2,4,1,1,1,1,2,4,2,2,2,4,3,4,4,3,2,2,3,3,3,2,2,4,3,1,1,3,3,3,3,3,3,3,3,3,3,2,2,3,3,4,2,2,1,2,2,2,2,3,2,1,3,1,3,2,3,2,7,3,3,3,5,4,2,3,2,3,3,1,3,4,2,4,9,4,4,2,11,1.23
48,1,1,1,1,2,36,1,1,2,2,1,2,1,4,1,1,1,4,2,1,3,1,2,4,2,3,3,4,4,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,5,2,2,3,2,1,1,4,3,2,2,2,2,2,3,3,3,3,4,3,4,4,3,3,3,2,2,2,3,3,2,3,2,1,1,1,2,3,1,2,3,3,2,2,3,3,2,2,2,3,1,2,2,3,1,3,1,2,1,1,2,3,1,3,1,4,2,8,3,2,2,2,4,3,3,3,3,3,2,3,4,2,3,8,4,4,4,1,1.23
49,1,1,1,1,2,31,2,2,2,3,2,3,2,3,3,1,1,2,2,2,3,3,2,4,2,4,3,3,5,3,3,2,5,2,2,4,2,2,3,2,4,2,3,2,2,2,2,2,1,2,2,2,3,1,2,2,3,2,3,3,2,4,2,3,2,2,3,2,4,3,2,4,3,4,2,3,4,2,3,4,3,2,2,3,1,2,1,3,1,1,2,3,2,1,2,3,3,3,4,2,3,2,2,3,3,2,2,3,3,2,3,2,2,3,2,3,2,1,2,3,3,3,5,2,3,3,5,3,4,3,2,4,6,1,3,4,2,4,10,3,3,2,1,1.23
50,1,1,1,1,2,30,4,3,5,3,3,2,2,2,2,3,2,4,2,2,3,3,3,5,5,3,4,5,5,3,3,3,1,3,4,4,4,1,3,3,3,3,3,3,2,2,2,2,1,1,2,2,3,3,1,4,4,3,3,3,1,1,2,3,2,5,1,2,3,1,3,3,4,4,3,3,3,3,3,3,3,2,3,3,3,2,1,3,2,1,2,2,2,1,2,3,3,3,3,3,3,2,3,3,3,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,3,2,7,4,3,3,5,4,3,3,3,2,2,1,3,4,98,3,7,4,5,2,8,1.23
51,1,1,1,1,2,39,5,2,6,4,4,4,4,4,3,2,1,4,1,4,3,4,4,5,5,5,5,5,5,3,2,3,5,3,4,5,4,1,2,2,1,2,3,1,2,2,1,2,1,1,1,3,3,1,1,5,4,2,1,1,1,1,5,1,3,1,1,1,5,3,5,4,4,3,2,2,2,2,2,1,1,1,3,3,4,1,1,3,3,1,1,1,1,1,4,1,3,1,2,1,3,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,2,1,2,1,2,2,5,1,1,1,1,1,2,3,3,4,8,2,3,5,98,4,10,3,3,1,1,1.23
52,1,1,1,1,2,31,5,3,5,4,4,3,2,2,2,2,2,3,4,4,3,4,4,5,5,4,4,5,5,3,3,3,5,4,3,5,4,1,3,1,1,1,3,2,2,2,1,2,1,1,1,2,2,1,1,5,4,4,2,2,2,2,2,1,2,1,1,1,1,2,2,3,4,4,2,3,3,2,2,1,1,2,3,3,2,2,1,3,1,1,1,1,1,1,3,1,3,1,3,2,2,1,1,1,1,2,2,2,1,3,3,3,1,2,1,1,1,1,1,1,2,2,9,1,1,3,5,3,2,3,2,4,6,2,2,3,98,3,7,3,4,3,1,1.23
53,1,1,1,1,1,26,2,3,2,2,2,2,2,2,2,2,1,3,2,2,3,2,4,5,4,4,3,4,5,2,2,2,2,3,3,3,4,2,3,3,3,4,4,3,2,2,2,2,2,1,2,2,3,2,1,4,3,2,3,3,4,4,3,3,4,4,2,4,3,3,3,2,2,3,3,3,5,4,3,3,2,1,3,2,3,3,1,3,4,1,3,2,3,1,2,4,2,3,3,3,3,1,2,3,3,4,2,2,2,1,2,1,1,3,1,1,2,1,2,1,3,2,5,3,3,2,1,2,2,3,3,3,3,1,3,4,98,4,10,3,3,1,1,1.19
54,1,1,1,1,1,19,2,2,5,3,2,3,2,3,3,3,1,3,3,3,5,2,3,4,5,3,3,4,5,3,3,1,2,3,3,3,2,2,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,1,1,2,3,2,3,3,2,2,3,4,3,4,1,3,3,2,2,2,3,4,4,5,5,4,4,4,4,2,2,3,3,2,1,3,4,1,2,2,2,1,2,3,3,3,3,3,3,1,3,3,3,2,5,5,5,5,5,5,2,4,2,2,2,3,3,3,3,2,8,2,3,3,5,3,1,3,1,3,3,1,2,3,98,3,7,4,5,2,1,1.19
55,1,1,1,1,1,28,4,2,3,2,3,2,1,3,1,1,2,3,3,2,3,2,3,4,4,3,4,3,4,3,3,2,2,3,2,4,3,2,4,3,3,4,4,3,2,2,2,2,2,1,1,2,2,2,1,4,3,2,3,2,2,2,3,2,2,3,1,3,3,2,3,4,5,5,4,5,5,4,4,4,3,2,2,2,3,3,1,3,3,1,3,2,2,1,2,4,3,2,3,3,3,1,1,2,2,1,5,5,2,3,2,2,2,2,1,1,1,1,2,2,3,2,7,2,3,2,3,3,2,3,4,4,6,1,3,4,2,4,9,4,4,1,1,1.19
56,1,1,1,1,1,29,2,2,5,2,2,3,2,3,2,2,2,3,2,2,3,2,3,4,5,3,3,4,3,3,1,2,2,2,3,3,3,2,2,2,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,3,2,2,3,3,3,2,2,2,2,3,2,4,4,4,4,1,3,2,3,2,1,3,4,1,1,1,1,1,3,3,3,3,3,3,3,2,3,4,4,4,2,3,3,2,2,2,2,2,1,1,1,1,2,1,3,3,6,3,2,2,5,3,2,4,2,4,6,1,3,4,2,3,8,4,5,2,1,1.19
57,1,1,1,1,1,29,4,2,5,3,3,4,3,4,2,1,1,2,2,2,5,3,3,5,4,5,4,4,5,1,2,1,4,3,2,3,3,3,4,4,4,4,3,3,2,2,2,2,1,1,1,2,2,2,3,2,2,3,4,4,1,2,1,1,1,2,1,1,2,2,2,4,3,4,4,3,3,5,5,2,1,1,3,3,3,4,1,1,1,3,3,2,3,1,2,4,2,3,3,4,4,4,4,3,3,1,4,4,3,4,4,3,1,2,2,2,2,2,1,1,3,3,9,3,3,2,2,3,3,1,2,4,6,1,3,4,98,4,12,2,3,3,1,1.19
58,1,1,1,1,1,29,1,2,2,4,3,3,1,1,1,1,1,4,2,1,2,2,2,1,1,1,4,4,4,2,1,1,1,3,4,5,1,1,4,1,1,1,1,1,1,1,1,2,1,1,3,3,3,1,1,4,4,3,4,4,1,1,3,2,1,4,1,1,3,3,3,2,2,3,2,4,4,3,3,3,1,2,3,1,3,2,3,3,1,1,1,1,1,1,2,3,3,3,3,3,3,1,1,1,2,4,2,2,4,2,5,2,2,3,2,1,2,1,2,2,4,3,5,1,1,2,5,4,1,3,1,4,6,1,3,4,98,4,10,3,4,4,1,1.19
59,1,1,1,1,1,20,3,3,6,3,3,3,2,2,2,1,2,3,2,2,4,3,3,4,5,2,4,4,4,3,3,1,2,3,3,4,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2,2,4,2,4,4,2,3,1,2,2,2,3,2,2,2,3,4,3,3,3,2,2,2,3,4,3,2,4,3,1,2,2,3,3,3,3,3,3,4,3,4,4,3,3,4,4,3,2,2,2,2,2,2,2,3,2,1,2,1,2,1,3,2,7,2,3,3,5,3,3,4,2,6,10,1,3,4,2,4,9,3,4,2,11,1.19
60,1,1,1,1,1,19,2,2,3,3,2,2,3,2,2,1,2,3,2,2,5,3,3,5,4,3,3,3,4,1,1,1,2,4,3,4,2,2,4,4,4,4,4,3,2,2,2,2,1,1,1,2,2,3,4,5,3,2,2,4,3,2,3,4,2,4,1,3,2,2,3,4,2,2,2,4,3,4,4,3,2,1,3,3,3,2,1,3,3,1,2,3,3,3,3,3,3,3,3,4,4,2,2,4,4,2,2,2,2,2,3,1,2,3,2,1,3,1,2,1,3,3,7,1,2,3,5,4,3,4,2,6,10,1,3,4,98,4,9,4,4,2,1,1.19
61,1,1,1,1,1,20,4,4,4,3,2,3,3,2,3,2,2,3,2,2,3,3,4,4,4,5,4,5,5,3,3,1,4,3,2,4,3,3,2,2,3,3,3,3,2,2,2,2,2,1,2,2,3,3,2,5,3,3,3,3,5,5,2,4,2,2,2,2,3,2,3,4,5,5,2,4,4,3,3,2,2,3,3,4,4,2,1,3,4,1,2,3,2,3,3,3,3,3,4,4,3,2,2,3,3,2,1,2,3,1,2,3,2,3,1,2,3,2,3,2,3,3,7,2,3,3,5,3,3,4,2,3,3,1,2,3,98,3,7,5,5,3,1,1.19
62,1,1,1,1,1,26,3,3,3,3,2,3,3,2,3,2,2,3,2,2,3,3,3,4,4,5,4,5,5,3,1,2,4,3,2,4,3,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,2,2,4,2,2,2,4,4,4,1,4,2,2,2,2,3,2,3,4,5,5,2,4,5,3,3,2,2,2,3,3,3,2,1,3,1,1,1,3,1,1,2,3,3,2,3,3,3,2,2,2,3,4,2,2,3,1,2,3,2,3,1,1,3,2,3,2,4,3,6,2,3,3,5,3,3,4,2,6,10,1,2,3,98,4,9,4,4,3,1,1.19
63,1,1,1,1,1,26,4,3,6,3,2,2,3,3,3,3,3,4,2,1,5,3,3,3,4,4,4,4,5,2,3,1,5,4,3,5,3,1,4,4,3,3,4,3,2,1,1,2,1,1,2,2,2,1,1,2,3,4,3,3,3,3,1,3,1,5,1,3,3,3,3,3,4,3,3,4,3,3,3,3,3,2,2,3,3,2,1,3,4,1,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,4,5,5,3,2,2,2,1,1,1,2,2,1,2,1,4,2,7,1,1,3,5,3,3,2,3,2,2,1,2,3,98,4,10,3,3,2,3,1.19
64,1,1,1,1,1,21,3,1,2,2,1,3,1,3,2,2,2,3,2,2,3,2,2,2,3,2,4,5,5,3,3,2,2,2,2,3,3,1,2,2,4,4,4,2,2,1,2,2,1,1,1,1,1,2,1,3,3,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,4,5,3,3,3,3,2,2,3,3,2,2,3,4,1,1,1,1,3,3,3,3,3,3,3,3,2,2,3,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,2,5,2,2,3,5,3,2,3,2,3,3,1,2,3,98,1,4,4,5,3,1,1.19
65,1,1,1,1,1,24,2,2,6,2,2,3,2,2,3,2,2,2,3,2,2,2,3,3,4,2,3,2,3,1,3,3,4,3,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,3,2,2,3,2,3,3,3,2,3,1,2,3,2,2,1,3,3,2,3,2,3,2,3,2,2,2,2,2,2,1,1,2,2,3,4,3,3,4,3,3,3,3,2,2,3,2,3,3,2,2,8,2,3,3,5,4,3,2,2,3,3,1,2,3,98,3,7,3,3,3,1,1.19
66,1,1,1,2,1,21,4,2,3,3,2,2,2,4,2,2,1,3,1,1,1,2,2,3,3,2,4,4,4,2,2,1,2,4,3,4,3,3,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,2,2,5,3,3,3,3,3,3,3,3,4,4,1,4,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,3,3,2,3,3,4,1,2,2,2,1,3,3,3,3,3,4,3,1,3,2,3,2,2,1,1,2,2,2,2,4,2,2,3,2,2,2,4,3,8,3,3,3,2,3,3,3,2,6,10,1,3,4,98,3,8,3,3,1,8,1.26
67,1,1,1,2,1,22,4,2,4,3,2,2,3,2,2,3,2,2,3,3,3,3,3,2,3,4,4,3,3,1,2,3,3,3,2,2,3,3,4,4,3,4,4,3,2,2,1,2,2,3,3,2,3,3,3,4,3,2,3,2,3,2,4,3,2,3,3,2,3,2,2,3,2,3,2,3,3,3,2,2,3,2,2,3,2,2,1,3,3,2,3,2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,3,4,3,2,2,2,3,4,3,2,2,3,3,2,2,7,2,3,2,5,3,3,4,3,6,10,1,3,4,98,4,9,2,3,2,1,1.26
68,1,1,1,1,5,64,3,2,6,3,3,3,2,3,2,3,1,3,2,3,2,1,3,5,5,4,3,4,4,2,1,2,2,4,3,4,3,2,2,1,2,3,3,2,2,2,2,2,1,1,2,2,2,1,2,3,3,3,3,3,4,4,4,3,3,4,1,4,2,2,3,2,2,2,3,4,5,4,3,2,2,3,2,2,4,2,1,3,3,1,1,2,2,1,4,3,3,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,1,1,4,2,5,2,2,5,1,2,1,3,5,2,2,2,2,3,98,2,6,3,4,2,1,1.22
69,1,1,1,1,5,60,1,1,2,2,2,2,1,3,1,1,2,3,1,1,5,2,2,3,5,1,4,5,5,3,3,3,2,2,2,4,2,3,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,4,1,1,1,5,4,1,2,1,2,2,2,3,3,2,2,2,4,3,5,4,4,3,1,2,1,4,2,3,2,3,1,2,3,2,1,3,3,3,4,4,4,4,1,2,2,2,2,1,4,4,1,2,1,1,1,1,3,3,1,3,1,3,3,8,3,2,2,2,3,3,1,1,2,2,2,2,3,1,2,5,5,5,2,13,1.22
70,1,1,1,1,5,73,1,2,2,2,2,1,1,4,1,1,1,3,2,2,3,2,3,4,3,2,3,4,4,3,1,4,2,3,1,4,2,3,2,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,1,4,2,2,2,3,2,2,1,2,2,2,1,3,3,2,3,4,5,5,4,5,5,4,4,3,3,2,2,3,2,2,1,3,3,1,2,3,3,1,2,3,3,3,4,3,3,1,1,2,2,1,2,2,3,3,2,2,1,2,1,1,2,1,2,1,3,3,6,3,2,4,2,3,2,3,4,3,5,2,1,1,99,1,3,5,6,2,1,1.22
71,1,1,1,1,5,74,1,1,1,1,1,1,1,1,1,1,2,4,2,1,3,1,1,2,3,2,5,2,2,1,2,1,5,2,4,5,4,1,3,3,2,1,2,1,2,2,2,2,4,3,1,1,1,1,2,4,3,3,3,1,5,1,1,5,1,1,1,3,3,3,3,2,2,3,3,3,3,2,2,3,2,1,2,1,2,1,1,4,2,1,2,3,3,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,2,1,3,1,6,4,1,2,3,3,1,3,5,6,12,2,2,3,2,2,6,5,5,2,1,1.22
72,1,1,1,1,5,61,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,3,3,5,4,4,5,5,4,1,2,3,5,3,3,4,3,2,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,2,2,3,5,4,5,4,4,4,5,4,3,1,1,2,1,2,2,1,3,1,1,1,4,4,1,2,4,4,3,3,4,3,3,3,4,3,1,4,4,3,4,4,4,1,1,2,2,1,2,1,2,4,2,7,4,4,5,1,4,3,1,2,3,3,2,2,3,3,4,10,3,4,2,1,1.22
73,1,1,1,1,5,67,2,3,5,3,3,3,2,3,2,1,3,3,3,2,1,2,3,4,4,2,3,4,4,3,3,3,4,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,1,2,2,2,2,3,1,2,3,2,2,3,4,2,3,4,2,1,1,2,2,3,3,3,2,3,4,4,4,4,4,3,3,3,3,3,3,2,4,3,1,1,1,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,1,1,2,1,2,2,2,3,2,2,3,2,2,1,3,2,7,3,3,4,5,2,2,4,2,2,2,2,2,3,1,3,8,4,4,2,10,1.22
74,1,1,1,1,5,65,2,2,3,3,3,3,2,1,2,1,2,3,1,1,3,2,3,4,4,3,3,3,4,3,2,2,2,4,3,4,1,2,3,3,2,2,3,3,2,2,1,2,1,1,1,2,2,2,1,5,3,3,2,2,4,2,3,2,3,4,1,2,2,2,2,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,4,2,4,1,3,3,3,1,2,3,3,3,3,3,3,2,2,2,3,4,2,2,2,2,5,5,2,4,2,2,3,1,2,1,3,3,7,3,3,4,2,2,4,2,2,2,2,2,2,3,98,1,4,5,6,3,12,1.22
75,1,1,1,1,5,61,2,2,2,2,1,3,1,2,1,1,1,4,2,1,1,2,2,4,4,1,4,5,5,3,3,1,2,3,2,4,3,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,3,2,2,2,3,3,3,2,3,4,3,4,2,2,1,3,3,2,5,3,3,4,3,4,4,3,3,2,2,2,2,1,3,2,1,3,3,1,1,3,1,1,2,3,3,2,3,3,3,1,2,2,2,4,2,3,4,1,2,2,2,2,1,1,3,2,3,1,3,1,9,2,2,4,1,2,3,2,3,2,2,2,2,3,2,4,10,3,3,2,4,1.22
76,1,1,1,1,5,61,1,2,3,3,1,2,1,2,1,1,1,4,1,1,5,1,1,5,4,1,4,5,5,3,3,1,2,3,4,5,4,1,4,4,4,4,4,4,2,1,2,1,1,1,2,2,3,2,1,2,3,3,4,1,2,2,4,5,1,1,1,2,2,3,3,3,5,5,5,5,5,3,3,2,4,1,2,2,3,2,3,3,1,1,2,2,2,1,3,3,3,4,4,4,4,2,4,4,4,2,1,4,4,1,1,1,1,1,1,1,1,2,4,1,2,1,7,2,2,2,3,4,3,2,3,2,2,2,2,3,98,3,7,4,4,2,13,1.22
77,1,1,1,1,5,69,2,3,4,3,2,3,3,3,3,3,2,4,3,2,5,2,3,4,4,4,4,4,5,3,3,1,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,3,4,2,2,2,2,2,2,3,2,3,1,3,3,2,3,3,3,3,4,5,5,3,3,3,2,1,2,3,3,2,1,3,4,1,2,2,2,3,3,3,3,3,3,3,3,1,3,3,3,1,1,2,2,1,2,2,1,3,2,1,3,2,3,2,3,2,6,3,2,3,5,3,2,3,2,2,2,2,2,3,98,1,4,4,5,2,8,1.22
78,1,1,1,1,5,66,2,2,6,4,4,4,4,4,3,2,2,1,4,1,3,4,4,5,5,5,5,5,5,3,2,3,5,3,4,5,4,1,2,2,1,2,3,1,2,2,1,2,1,1,1,3,3,1,2,5,4,2,2,2,1,1,5,1,3,1,1,1,5,3,5,4,4,3,2,2,2,2,2,1,1,1,3,3,4,1,1,3,3,1,1,1,1,1,4,1,3,1,2,1,3,1,1,1,1,1,1,1,1,2,3,4,1,3,2,2,2,3,2,2,2,2,6,2,2,1,1,2,3,3,3,3,5,2,2,3,98,3,8,4,4,4,8,1.22
79,1,1,1,1,4,51,2,2,3,3,2,2,2,3,2,2,1,3,2,2,1,2,3,5,4,4,5,5,4,2,1,2,2,3,3,3,3,3,2,2,3,2,3,2,1,2,2,2,2,1,2,2,3,2,2,5,2,3,3,3,4,3,3,2,2,1,2,4,3,3,3,3,2,4,4,5,5,4,2,2,1,3,3,3,2,2,1,3,4,1,1,2,3,1,4,3,3,2,3,3,3,1,2,2,2,2,2,2,3,3,2,2,1,2,2,1,2,1,2,2,3,2,7,3,2,2,1,3,2,3,3,2,2,2,2,3,98,4,9,3,3,2,13,1.20
80,1,1,1,1,4,58,2,2,3,2,2,1,1,4,2,1,1,3,2,2,3,2,3,4,3,3,4,4,5,3,1,4,2,3,2,4,2,3,4,3,2,2,3,2,2,2,2,2,1,1,1,2,2,2,1,4,2,2,3,3,2,2,3,2,2,2,1,3,3,2,3,4,5,5,4,5,5,4,4,3,3,2,2,3,2,2,1,3,3,1,2,3,3,1,2,3,4,3,4,3,3,1,1,2,2,4,2,2,3,3,2,2,1,2,1,1,2,1,2,1,3,3,6,3,2,3,1,2,2,3,4,2,2,2,2,3,98,2,6,4,5,1,1,1.20
81,1,1,1,1,4,59,2,2,4,2,2,3,1,3,1,2,2,4,2,2,3,2,3,3,4,2,4,4,4,1,1,2,5,3,4,4,4,1,3,2,2,2,1,1,2,2,2,2,1,2,3,2,2,1,2,1,2,2,2,2,5,4,1,5,2,2,1,3,3,3,3,2,2,2,2,4,3,3,3,2,2,1,2,2,2,2,1,3,3,1,2,2,3,1,3,1,3,2,2,2,3,1,2,2,2,2,2,3,2,3,2,2,1,2,1,1,3,1,2,2,3,2,6,3,3,4,1,2,2,3,3,4,6,2,2,3,2,3,7,4,5,2,1,1.20
82,1,1,1,1,4,56,2,3,4,3,2,3,3,3,3,2,3,3,3,3,4,3,3,3,4,5,5,5,5,2,2,3,3,4,4,3,3,3,4,3,4,3,3,4,2,2,1,1,2,2,3,2,2,3,3,4,3,2,2,2,2,3,3,4,3,2,2,4,3,2,3,3,2,4,3,4,1,2,2,3,3,3,4,3,3,3,1,3,4,1,2,4,3,1,2,4,3,3,3,3,3,2,2,2,2,4,3,2,3,4,3,3,2,3,1,1,1,1,2,1,3,2,7,3,3,4,1,2,3,3,3,4,6,2,3,4,3,4,11,3,4,4,1,1.20
83,1,1,1,1,4,58,2,1,1,2,1,2,1,3,2,1,1,3,2,1,5,2,2,4,2,2,4,5,5,2,1,2,2,2,2,4,4,1,3,3,2,3,2,3,2,2,2,2,2,2,3,3,3,1,1,3,3,2,3,1,1,1,4,1,1,3,1,2,3,3,4,3,4,4,3,4,4,4,4,4,2,2,2,2,3,2,1,4,1,3,3,3,3,3,3,3,3,3,4,4,4,1,1,1,1,3,2,2,4,2,3,1,2,2,1,1,3,2,3,1,3,3,6,1,1,4,5,3,2,4,2,3,5,2,2,3,2,2,5,4,4,2,13,1.20
84,1,1,1,1,4,59,2,2,1,3,3,3,3,1,3,1,3,3,2,1,1,2,3,4,4,2,3,3,4,1,2,1,2,3,2,4,2,2,3,3,2,3,3,3,2,2,2,2,1,1,1,2,1,3,2,5,3,2,2,2,4,2,3,4,2,2,2,2,3,3,3,4,2,2,3,4,4,4,4,3,3,3,3,4,3,2,1,5,3,2,3,2,4,1,2,3,3,4,2,3,3,1,2,3,3,1,2,1,2,2,2,3,2,3,2,2,3,1,2,1,3,3,8,3,3,3,5,2,2,4,3,6,12,3,2,3,98,1,3,5,6,4,9,1.20
85,1,1,1,1,4,54,1,1,2,3,3,2,2,2,1,1,2,2,2,2,1,1,2,4,4,4,3,4,5,2,2,1,2,3,2,4,2,3,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,3,2,2,2,2,4,3,2,2,2,2,1,3,3,3,2,2,3,3,3,4,3,2,2,2,3,4,3,2,4,1,1,1,2,3,3,3,3,3,3,4,4,3,4,2,2,4,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,3,3,9,2,3,4,5,3,2,4,2,2,2,2,2,3,98,4,10,4,4,2,1,1.20
86,1,1,1,1,4,53,4,3,4,3,1,3,1,3,2,1,1,3,2,2,3,2,2,5,4,2,4,5,5,3,3,1,2,3,3,4,3,2,4,3,2,4,2,2,2,2,2,2,2,1,2,2,4,2,4,2,3,3,3,2,4,4,4,3,2,2,1,2,2,2,4,3,4,5,3,5,5,3,3,2,4,2,2,2,3,2,1,3,1,1,3,3,2,1,2,3,3,2,3,3,3,2,2,2,2,4,1,2,4,1,2,2,2,2,1,1,3,2,3,1,3,3,5,2,3,2,2,3,3,2,2,2,2,2,2,3,98,3,7,4,5,3,12,1.20
87,1,1,1,1,4,50,3,4,4,3,3,3,3,2,3,2,1,2,2,1,1,3,4,4,4,5,4,5,5,3,3,2,5,3,3,4,3,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,3,1,2,5,3,2,2,3,4,4,2,2,1,2,1,2,2,1,3,3,4,4,3,4,4,3,4,2,2,2,2,3,3,2,1,3,1,1,2,3,3,1,2,3,4,2,3,3,2,1,2,2,2,4,1,2,3,1,2,2,1,3,1,1,2,2,3,2,3,3,6,2,3,4,5,3,3,1,2,2,2,2,3,4,98,4,9,4,4,3,8,1.20
88,1,1,1,1,4,53,2,2,3,3,2,3,2,3,3,1,1,2,2,2,1,3,3,5,4,3,4,4,5,3,1,2,5,2,3,4,3,2,3,2,4,2,3,2,2,2,2,2,2,1,3,3,2,2,2,4,3,2,3,3,3,2,4,3,2,4,3,2,4,3,2,4,3,4,2,3,5,2,3,4,3,1,2,3,1,2,1,3,1,1,2,3,2,1,2,4,3,3,4,2,3,2,2,3,3,2,1,3,3,2,3,2,2,3,2,3,2,1,2,3,3,3,6,2,3,2,2,3,4,3,2,3,4,2,2,3,2,3,8,4,4,2,11,1.20
89,1,1,1,1,4,52,5,3,6,4,4,2,2,4,2,2,2,4,4,4,3,4,4,5,5,5,5,5,5,3,3,3,5,4,3,5,4,1,3,1,1,1,3,1,2,2,1,2,1,1,1,2,2,1,1,5,4,4,2,2,2,2,2,1,2,1,1,1,1,1,1,3,4,4,2,3,3,2,2,1,1,2,3,3,2,2,1,3,3,1,1,1,1,1,3,1,3,1,3,2,2,1,1,1,1,2,2,2,1,3,3,3,1,2,1,1,1,1,1,1,2,2,9,1,1,3,1,2,2,3,2,4,6,2,3,5,98,4,10,3,4,3,1,1.20
90,1,1,1,1,4,58,2,1,2,3,3,3,3,3,3,2,1,3,3,3,1,3,3,4,4,4,4,5,5,3,1,1,4,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,4,3,3,3,5,1,1,2,4,3,3,1,4,4,3,3,3,3,4,4,4,5,3,3,3,2,1,2,2,3,2,1,3,3,1,2,2,2,1,3,3,3,3,3,3,3,2,3,2,3,2,2,1,2,1,2,2,2,3,3,2,2,2,3,2,4,2,7,2,3,3,1,3,3,3,2,2,2,2,2,3,98,4,10,4,4,2,1,1.20
